id	cj6	cj5	cj5f	unicode
1	A	A	A	65E5
2	AA	AA	AA	660C
3	AAA	AAA	AAA	6676
4	AAAA	AAAA	AAAA	232AD
5	AAAA1	XAAAA	AAAA	232AB
6	AAAH	AAAH	AAAH	66D1
7	AAAM	AAAM	AAAM	66E1
8	AAAM1	XAAAM	AAAM	66D0
9	AAAM2	XXAAA	AAAM	3B2A
10	AAAM3	XXXAA	AAAM	
11	AAAV	AAAV	AAAV	66DF
12	AAA1	XAAA	AAA	667F
13	AABDD	AABDD	AABDD	
14	AABT	AABT	AABT	3B08
15	AABUU	AABUU	AABUU	89B8
16	AAD	AAD	AAD	23201
17	AAF	AAF	AAF	7138
18	AAFU	AAFU	AAFU	
19	AAHM	AAHM	AAHM	6692
20	AAHML	AAHML	AAHML	3AC0
21	AAHU	AAHU	AAHU	23232
22	AAHU1	XAAHU	AAHU	
23	AAHZ	XAAHA	AAHAF	2A087
24	AAJV	AAJV	AAJV	66A5
25	AAJV1	XAAJV	AAJV	
26	AAM	AAM	AAM	3ADC
27	AAMG	AAMG	AAMG	24989
28	AAMGI	AAMGI	AAMGI	
29	AAMH	AAMH	AAMH	6698
30	AAMI	AAMI	AAMI	2321C
31	AAMJ	AAMJ	AAMJ	6658
32	AAMO	AAMO	AAMO	23246
33	AAMU	AAMU	AAMU	3AEF
34	AAMV	AAMV	AAMV	23290
35	AAM1	XAAM	AAM	
36	AANA	AANA	AANA	232BA
37	AANG	AANG	AANG	232C6
38	AANK	AANK	AANK	
39	AANO	AANO	AANO	238D8
40	AAP	AAP	AAP	226DD
41	AAPH	AAPH	AAPH	6679
42	AAPP	AAPP	AAPP	23200
43	AAPV	AAPV	AAPV	668D
44	AASE	AASE	AASE	232C1
45	AATE	AATE	AATE	66DD
46	AATR	AATR	AATR	23308
47	AAVF	AAVF	AAVF	3B24
48	AAYF	AAYF	AAYF	66BB
49	AAYT	AAYT	AAYT	2322B
50	AAYV	AAYV	AAYV	2331D
51	AA1	XAA	AA	660D
52	AB	AB	AB	660E
53	ABAA	ARXU	ARXU	232CB
54	ABAA1	XARXU	ARXU	
55	ABAC	ABAC	ABAC	669D
56	ABBE	ABBE	ABBE	66D6
57	ABBE1	XABBE	ABBE	66A7
58	ABBQ	ABBQ	ABBQ	232AC
59	ABBT	ABBT	ABBT	76DF
60	ABBUU	ABBUU	ABBUU	89B5
61	ABCN	ABCN	ABCN	23247
62	ABD	ABD	ABD	23204
63	ABDL	ABDL	ABDL	
64	ABDU	ABDU	ABDU	23203
65	ABF	ABF	ABF	713D
66	ABFF	ABFF	ABFF	
67	ABF1	XABF	ABF	231E7
68	ABG	ABG	ABG	
69	ABGB	ABGB	ABGB	23241
70	ABGR	ABGR	ABGR	666D
71	ABHA	ABHA	ABHA	3FE2
72	ABHF	ABHF	ABHF	3B19
72	AIKF	AIKF	AIKF	3B19
73	ABHZ	XABHF	ABHF	4CDF
74	ABIE	ABIE	ABIE	
75	ABIK	ABIK	ABIK	7312
76	ABIKG	ABIKG	ABIKG	214A6
77	ABJCM	ABJCM	ABJCM	66CC
78	ABJJ	XABJJ	ABJJ	6688
79	ABJJ1	ABJJ	ABJJ	6689
80	ABKF	ABKF	ABKF	3B17
81	ABKQ	ABKQ	ABKQ	6655
82	ABKQ1	XABKQ	ABKQ	6656
83	ABME	ABME	ABME	6696
84	ABME1	XABME	ABME	3B0A
85	ABMGI	ABMGI	ABMGI	741E
86	ABMM	ABMM	ABMM	23167
87	ABMMF	ABMMF	ABMMF	
88	ABMR	ABMR	ABMR	664D
89	ABMS	ABMS	ABMS	52D7
90	ABMX	XABMM	ABMM	
91	ABOF	ABOF	ABOF	66A9
92	ABOU	ABOU	ABOU	669A
93	ABP	ABP	ABP	2270F
94	ABQR	ABQR	ABQR	
95	ABT	ABT	ABT	6637
96	ABTNL	ATNL	ATNL	
97	ABU	ABU	ABU	5192
98	ABUC	ABUC	ABUC	231DC
99	ABUE	ABUE	ABUE	23317
100	ABUG	ABUG	ABUG	3B2C
101	ABUHZ	XAUHA	AUHAF	2A0D1
102	ABUKS	AUKS	AUKS	52D6
103	ABUU	ABUU	ABUU	665B
104	ABUU1	XABUU	ABUU	34BB
105	ABUYE	AUYE	AUYE	3A9E
106	ABWI	ABWI	ABWI	3B2D
107	ABX	ABHX	ABHX	
108	AB1	XAB	AB	5190
109	ACDI	ACDI	ACDI	
110	ACI	ACI	ACI	6616
111	ACIS	ACIM	ACIM	66A1
112	ACNH	ACNH	ACNH	665C
113	ACNH1	XACNH	ACNH	
114	ACR	ACR	ACR	
115	ACRU	ACRU	ACRU	231CB
116	ACSH	ACSH	ACSH	6610
117	ACWA	ACWA	ACWA	3B1D
118	AD	AD	AD	6772
119	ADA	ADA	ADA	231FF
120	ADAM	ADAM	ADAM	2324E
121	ADD	ADD	ADD	667D
122	ADDF	ADDF	ADDF	232DC
123	ADHL	ADHL	ADHL	6670
124	ADI	ADI	ADI	65F6
125	ADJ	ADJ	ADJ	6629
126	ADK	ADK	ADK	23161
127	ADL	ADL	ADL	
128	ADMM	ADMM	ADMM	
129	ADMQ	ADMQ	ADMQ	6690
130	ADMZ	ADMBC	ADMBC	294E2
131	ADNL	ADNL	ADNL	2870D
132	ADONL	AONL	AONL	
133	ADR	ADR	ADR	231CF
134	ADW	ADW	ADW	
135	ADWF	ADWF	ADWF	6695
136	ADW1	XADW	ADW	
137	AD1	XAD	AD	20556
138	AE	AE	AE	
139	AEDHE	AEDHE	AEDHE	3FFA
140	AEED	AEED	AEED	23255
141	AEEE	AEEE	AEEE	231FD
142	AEII	AEII	AEII	23254
143	AEMJ	AEMJ	AEMJ	23199
144	AEOR	AEOR	AEOR	3B01
145	AE1	AE1	AE1	
146	AF	AF	AF	7085
147	AFB	AFB	AFB	231BA
148	AFBF	AFBF	AFBF	66ED
149	AFBK	AFBK	AFBK	232B6
150	AFBK1	XAFBK	AFBK	
151	AFBR	AFBR	AFBR	3AFE
152	AFD	AFD	AFD	3AE7
153	AFDQ	AFDQ	AFDQ	66BD
154	AFF	AFF	AFF	6671
155	AFFO	AFFO	AFFO	2329E
156	AFH	AFH	AFH	
157	AFHHH	AFHHH	AFHHH	5F71
158	AFKT	AFKT	AFKT	232F9
159	AFMBO	AFMBO	AFMBO	98A2
160	AFMU	AFMU	AFMU	6643
161	AFMU1	XAFMU	AFMU	6644
162	AFMZ	XXAFM	AFMBC	294FA
163	AFQ	AFQ	AFQ	3AE0
164	AFSHR	AFSHR	AFSHR	3DD6
165	AFSU	AFQU	AFQU	34BD
166	AFSU1	XAFQU	AFQU	
167	AFYRB	AFYRB	AFYRB	4BEB
168	AF1	XAF	AF	709A
169	AG	AG	AG	573C
170	AGB	AGB	AGB	23180
171	AGBT	AGBT	AGBT	66C0
172	AGCE	AGCE	AGCE	231FE
173	AGDI	AGDI	AGDI	6642
174	AGDI1	XAGDI	AGDI	3AED
175	AGG	AGG	AGG	6646
176	AGGG	AGGG	AGGG	23239
177	AGGG1	XAGGG	AGGG	
178	AGGU	AGGU	AGGU	66C9
179	AGI	AGI	AGI	3AE2
180	AGIT	AGIT	AGIT	
181	AGL	AGTJ	AGTJ	23211
182	AGLI	AGJI	AGJI	
183	AGLK	AGJK	AGJK	2328E
184	AGNI	AGNI	AGNI	232EC
185	AGP	AGP	AGP	231CC
186	AGP1	XAGP	AGP	
187	AGRR	AGRR	AGRR	66BF
188	AGSK	AGSK	AGSK	
189	AGWC	AGWC	AGWC	232FA
190	AGZ	AGLC	AGLC	3AF1
191	AGZZ	AGCC	AGCC	3B28
192	AGZ1	XAGLC	AGLC	231D0
193	AHA	AHA	AHA	23186
194	AHAD	AHAD	AHAD	
195	AHAE	AHAE	AHAE	
196	AHAE1	XAHAE	AHAE	
197	AHAG	AHAG	AHAG	23237
198	AHAH	AHAH	AHAH	
199	AHAJ	AHAJ	AHAJ	66AD
200	AHAJ1	XAHAJ	AHAJ	66A4
201	AHAJ2	XXAHA	AHAJ	
202	AHAU	AHAU	AHAU	231BF
203	AHAZ	AHAM	AHAM	
204	AHBK	AHBK	AHBK	232C9
205	AHBN	AHBN	AHBN	3AFC
206	AHBR	AHBR	AHBR	664C
207	AHBR1	XAHBR	AHBR	6651
208	AHBU	AHBU	AHBU	7709
209	AHBY	AHBY	AHBY	23194
210	AHE	AHE	AHE	6604
210	AME	AME	AME	
211	AHEJ	AHEJ	AHEJ	231D4
212	AHEM	AHEM	AHEM	6638
213	AHEM1	XAHEM	AHEM	3AE1
214	AHEQ	AHEQ	AHEQ	
215	AHEY	AHEY	AHEY	6638
216	AHEY1	XAHEY	AHEY	3AE1
217	AHFW	AHDW	AHDW	232A9
218	AHG	AHG	AHG	
219	AHGR	AHGR	AHGR	6667
219	AHQR	AHQR	AHQR	
220	AHHD	AHHD	AHHD	257D9
221	AHHHH	AHHHH	AHHHH	22497
222	AHHK	AHHK	AHHK	23267
223	AHHML	AHHML	AHHML	230A8
224	AHHNI	AHHNI	AHHNI	4B17
225	AHI	AHI	AHI	39B9
226	AHIO	AHIO	AHIO	23185
227	AHI1	XAHI	AHI	
228	AHJD	AHJD	AHJD	231A6
229	AHJE	AHJE	AHJE	
230	AHJF	AHGF	AHGF	66DB
231	AHJG	AHJG	AHJG	
232	AHJM	AHJM	AHJM	231E6
233	AHKR	AHKR	AHKR	3B16
234	AHLB	AHLB	AHLB	2322D
235	AHMJ	AHMJ	AHMJ	23228
236	AHML	AHML	AHML	6615
237	AHNI	AHNI	AHNI	2323C
238	AHNR	AHNR	AHNR	3ADF
239	AHOG	AHOG	AHOG	6680
240	AHOL	AHOL	AHOL	
241	AHON	AHON	AHON	231AF
242	AHOO	AHOO	AHOO	66B0
243	AHOO1	XAHOO	AHOO	
244	AHOR	AHOR	AHOR	6677
244	AHYR	AHYR	AHYR	6677
245	AHP	XAHP	AHP	23152
246	AHPL	AHPL	AHPL	
247	AHQ	AHQ	AHQ	2316B
248	AHQI	AHQI	AHQI	231D5
249	AHQM	AHQM	AHQM	661F
250	AHQM1	XAHQM	AHQM	7520
251	AHQO	AHQO	AHQO	6633
252	AHGR	AHGR	AHGR	6667
252	AHQR	AHQR	AHQR	
253	AHRK	AHRK	AHRK	
254	AHRN	AHRN	AHRN	2321B
255	AHS	AHS	AHS	6608
255	AIS	AIS	AIS	6608
256	AHSE	AHSE	AHSE	23265
257	AHSK	AHSK	AHSK	66D2
258	AHSL	AHSL	AHSL	3AF9
259	AHT	AHT	AHT	6607
260	AHTU	AHTU	AHTU	
261	AHT1	XAHT	AHT	2316E
